 ,Area,Mean,Min,Max,Slice
361,318,4081.041,3393,4985,1
362,203,7492.409,3407,11622,1
363,289,4565.000,3386,6683,1
364,298,10237.765,3394,20754,1
365,361,12051.657,3388,31172,1
366,309,6390.871,3429,8771,1
367,292,6732.082,3477,9203,1
368,416,4797.399,3409,6635,1
369,435,6045.064,3385,8847,1
370,282,5342.004,3460,6876,1
371,460,4889.524,3382,6180,1
372,309,3987.631,3401,5155,1
373,205,3750.824,3385,4518,1
374,298,5074.718,3408,6575,1
375,299,4328.097,3388,5297,1
376,280,4460.236,3385,5627,1
377,279,5413.989,3424,6975,1
378,281,4824.534,3384,6493,1
379,260,4446.577,3394,5384,1
380,274,4378.358,3383,5549,1
381,244,4956.361,3438,6472,1
382,317,4713.066,3408,6107,1
383,355,4673.273,3386,6010,1
384,303,3914.122,3388,4730,1
385,288,4791.872,3408,6309,1
386,327,4976.150,3385,6740,1
387,386,4477.303,3383,6108,1
388,285,4853.884,3395,6271,1
389,389,5174.272,3441,6515,1
390,362,4346.624,3399,5880,1
391,475,6440.048,3400,10291,1
392,293,4637.249,3385,5628,1
393,290,4786.576,3413,5910,1
394,340,4347.135,3398,5813,1
395,278,4218.165,3397,5153,1
396,304,4354.589,3392,5595,1
397,358,4979.642,3407,6375,1
398,334,4822.335,3399,6296,1
399,469,4393.736,3410,5991,1
400,280,4065.982,3387,5255,1
401,322,4834.714,3433,6390,1
402,369,4773.184,3398,6493,1
403,266,3832.248,3384,4443,1
404,285,4147.025,3392,5160,1
405,276,7249.598,3382,11011,1
406,298,4590.248,3392,6205,1
407,284,4035.901,3396,5126,1
408,305,4198.262,3382,4991,1
409,298,4920.648,3389,6602,1
410,403,4912.578,3404,6573,1
411,249,4773.699,3401,5956,1
412,275,3892.556,3390,4884,1
413,332,5282.774,3383,7550,1
414,364,5541.824,3415,7262,1
415,264,4123.947,3392,5455,1
416,281,4451.915,3405,5819,1
417,260,3902.150,3383,4952,1
418,294,4850.235,3419,6412,1
419,275,7208.229,3388,10281,1
420,164,8775.256,3396,15718,1
421,310,3879.684,3382,4524,1
422,302,4158.477,3398,5492,1
423,302,4493.248,3413,5761,1
424,256,3837.508,3382,4446,1
425,333,5273.279,3400,7086,1
426,161,7698.081,3402,14371,1
427,308,4684.571,3411,6031,1
428,306,4769.922,3385,6087,1
429,328,4283.049,3382,5666,1
430,368,4699.995,3393,6336,1
431,262,4149.557,3385,5286,1
432,320,4597.897,3396,6244,1
433,271,4658.089,3386,6040,1
434,301,4254.542,3398,5313,1
435,327,4691.752,3394,6377,1
436,319,6273.223,3385,8917,1
437,279,4169.638,3383,5171,1
438,167,8510.641,3447,14963,1
439,386,4900.166,3388,6569,1
440,309,4127.955,3396,5077,1
441,433,4481.596,3383,5950,1
442,345,5725.157,3391,8150,1
443,438,7124.084,3389,14052,1
444,268,9327.646,3403,17266,1
445,354,4416.121,3392,5504,1
446,427,6063.934,3394,8040,1
447,306,4028.173,3383,5080,1
448,272,4555.772,3394,6274,1
449,285,4171.449,3385,5622,1
450,280,3885.657,3382,4645,1
451,303,6476.403,3405,9181,1
452,300,4523.890,3389,5929,1
453,302,4158.927,3387,5327,1
454,297,4469.209,3397,6185,1
455,346,5042.997,3413,6968,1
456,303,4633.139,3397,6119,1
457,407,4685.796,3394,6090,1
458,296,6707.291,3388,9622,1
459,424,6132.774,3443,8382,1
460,393,4596.791,3404,6083,1
461,314,4200.315,3385,5174,1
462,288,5087.979,3405,6805,1
463,456,4472.373,3385,5857,1
464,281,4400.804,3395,5730,1
465,257,5311.642,3389,7243,1
466,336,4682.315,3404,6042,1
467,327,4207.547,3388,5406,1
468,379,5332.842,3444,7050,1
469,328,4437.945,3386,5604,1
470,220,6406.755,3405,9230,1
471,253,3736.779,3384,4291,1
472,261,4035.801,3382,5180,1
473,306,4343.046,3383,6173,1
474,425,6758.802,3409,10490,1
475,306,4706.461,3389,6614,1
476,368,5198.367,3389,7057,1
477,322,6269.711,3382,8628,1
478,302,3842.192,3383,4635,1
479,424,4504.087,3387,5959,1
480,485,5956.786,3383,8521,1
481,319,4744.734,3388,6298,1
482,274,4317.613,3387,5493,1
483,345,5777.046,3400,8544,1
484,290,4628.079,3397,6434,1
485,212,7309.835,3385,11811,1
486,268,3811.485,3384,4446,1
487,296,4337.601,3384,5797,1
488,280,5011.621,3416,6343,1
489,179,8731.251,3382,15474,1
490,325,4536.055,3385,6188,1
491,269,5114.933,3414,7071,1
492,299,4468.662,3389,5530,1
493,271,3955.587,3382,5028,1
494,369,3958.523,3389,4992,1
495,309,3867.036,3383,4794,1
496,462,8004.803,3384,11923,1
497,381,5044.764,3396,6774,1
498,230,4993.609,3410,6450,1
499,425,5650.861,3414,7377,1
500,358,5375.316,3402,7382,1
501,408,4662.843,3386,6343,1
502,294,4578.578,3384,6058,1
503,238,5653.437,3392,8551,1
504,381,8633.066,3389,16042,1
505,490,5794.080,3398,7682,1
506,248,4881.032,3407,6749,1
507,276,4230.580,3402,5436,1
508,265,4315.917,3393,5778,1
509,488,4503.053,3382,5840,1
510,252,4843.857,3402,6369,1
511,305,4519.223,3384,5851,1
512,285,3923.793,3391,4983,1
513,324,4137.617,3399,5494,1
514,312,4707.035,3390,5872,1
515,453,6013.662,3382,8062,1
516,414,5377.928,3393,7403,1
517,267,3955.517,3403,5188,1
518,305,4065.807,3384,5301,1
519,272,4328.581,3398,5282,1
520,255,4394.949,3398,5456,1
521,266,4139.305,3387,5086,1
522,280,4590.818,3388,6149,1
523,280,4686.468,3410,6580,1
524,303,4016.858,3383,5178,1
525,273,4351.513,3391,5695,1
526,277,4975.469,3397,6595,1
527,252,4652.591,3396,5984,1
528,269,4934.327,3400,6893,1
529,315,4144.083,3409,5166,1
530,264,4370.439,3400,5562,1
531,442,5139.023,3386,6825,1
532,404,5177.822,3382,6883,1
533,363,4594.656,3390,5969,1
534,230,5510.000,3423,7535,1
535,283,4055.212,3409,4827,1
536,305,4097.508,3387,5144,1
537,483,4479.166,3402,6042,1
538,236,3771.936,3382,4388,1
539,278,4694.137,3399,6276,1
540,271,4915.048,3397,6497,1
541,357,4658.807,3397,6116,1
542,283,4088.989,3382,5408,1
543,277,3821.152,3385,4670,1
544,289,4196.076,3400,5289,1
545,348,4691.718,3388,5955,1
546,408,4552.870,3393,6303,1
547,285,4935.186,3405,6776,1
548,262,5023.023,3386,6604,1
549,368,5243.413,3413,6681,1
550,300,4529.650,3382,5943,1
551,276,4078.438,3389,5267,1
552,282,4125.812,3382,5341,1
553,255,4309.380,3391,5753,1
554,252,5919.389,3420,8258,1
555,387,4989.822,3411,6961,1
556,295,4524.766,3385,6063,1
557,250,3823.292,3402,4532,1
558,285,4602.249,3383,5881,1
559,273,3969.736,3384,4596,1
560,296,4143.503,3382,5293,1
561,297,4700.539,3385,6917,1
562,299,4255.398,3385,5519,1
563,266,5289.335,3387,7111,1
564,352,3902.213,3383,5075,1
565,303,4066.541,3388,5395,1
566,280,4278.468,3400,5390,1
567,265,5037.279,3387,6881,1
568,498,6267.777,3398,8428,1
569,252,4094.381,3386,5159,1
570,247,5390.170,3437,7172,1
571,299,4590.087,3392,6028,1
572,419,6079.499,3382,8711,1
573,226,6688.080,3403,10051,1
574,416,4688.329,3383,6751,1
575,440,5570.336,3394,7506,1
576,274,4292.843,3424,5298,1
